campo,contenido_txt
L5,"‘With the firm correctness of the count of Kî,' his brightness could not be (quite) extinguished."
L6,‘He had at first ascended to (the top of) the sky:'—he might have enlightened the four quarters of the kingdom. ‘His future shall be to go into the earth:'—he has failed to fulfil the model (of a ruler).
hex_fin,
hex,37
image,"(The trigram representing) fire, and that for wind coming forth from it, form Kiâ Zăn. The superior man, in accordance with this, orders his words according to (the truth of) things, and his conduct so that it is uniformly consistent."
L1,"‘He establishes restrictive regulations in his household:—(he does so), before any change has taken place in their wills."
L2,"‘The good fortune attached to the second six, (divided),' is due to the docility (of its subject), operating with humility."
L3,"When ‘the members of the household are treated with stern severity,' there has been no (great) failure (in the regulation of the family). When ‘wife and children are smirking and chattering,' the (proper) economy of the family has been lost."
L4,"‘The family is enriched, and there is great good fortune:'—this is due to the docility (belonging to the subject of the line), and its being in its correct place."
L5,‘The influence of the king extends to his family:'—the intercourse between them is that of mutual love.
L6,‘The good fortune connected with the display of majesty' describes (the result of) the recovery of the true character.
hex_fin,
hex,38
image,"(The trigram representing) fire above, and that for (the waters of) a marsh below, form Khwei. The superior man, in accordance with this, where there is a general agreement, yet admits diversity."
L1,"‘He meets with bad men (and communicates with them):'—(he does so), to avoid the evil of their condemnation."
L2,‘He happens to meet with his lord in a bye-passage:'—but he has not deviated (for this meeting) from the (proper) course.
L3,‘We see his carriage dragged back:'—this is indicated by the inappropriateness of the position (of the line).
L4,"‘They blend their sincere desires together, and there will be no error:'—their (common) aim is carried into effect."
L5,‘With his hereditary minister (he unites closely and easily) as if he were biting through a piece of skin:'—his going forward will afford ground for congratulation.
L6,‘The good fortune symbolised by meeting with (genial) rain' springs from the passing away of all doubts.
hex_fin,
hex,39
image,"(The trigram representing) a mountain, and above it that for water, form Kien. The superior man, in accordance with this, turns round (and examines) himself, and cultivates his virtue."
L1,"‘Advancing will conduct to (greater) difficulties, while remaining stationary will afford ground for praise:'—the proper course is to wait."
L2,‘The minister of the king struggles with difficulty on difficulty:'—in the end no blame will be attached to him.
L3,"‘He advances, (but only) to (greater) difficulty; he remains stationary, and returns to his former associates:'—they, (represented in) the inner (trigram), rejoice in him."
L4,"‘To advance will (only be to) encounter (greater) difficulties; he remains stationary, and unites (with the subject of the line above):'—that is in its proper place and has the solidity (due to it in that position)."
L5,"‘He struggles with the greatest difficulties, while friends are coming (to help him):'—he is in the central position, and possesses the requisite virtue."
L6,"‘To advance will (only) increase the difficulties, while his remaining stationary will (be productive of) great (merit):'—his aim is to assist the (subject of the line) inside of him."
hex_fin,
hex,40
image,"(The trigram representing) thunder and that for rain, with these phenomena in a state of manifestation, form Kieh. The superior man, in accordance with this, forgives errors, and deals gently with crimes."
L1,The strong (fourth) line and the weak line here are in correlation:—we judge rightly in saying that ‘its subject will commit no error.'
L2,"‘The good fortune springing from the firm correctness of the second line, (undivided),' is due to its subject holding the due mean."
L3,"For ‘a porter with his burden to be riding in a carriage' is a thing to be ashamed of. ‘It is he himself that tempts the robbers to come:'—on whom besides can we lay the blame? (See Appendix III, i, 48.)"
L4,‘Remove your toes:'—the places (of this line and of the third and first) are all inappropriate to them.
L5,"When ‘the superior man executes his function of removing (whatever is injurious to the idea of the hexagram),' small men will of themselves retire."
L6,‘A prince with his bow shoots a falcon:'—thus he removes (the promoters of) rebellion.
hex_fin,
hex,41
image,"(The trigram representing) a mountain and beneath it that for the waters of a marsh form Sun. The superior man, in accordance with this, restrains his wrath and represses his desires."
L1,‘He suspends his own affairs and hurries away (to help the subject of the fourth line):'—the (subject of that) upper (line) mingles his wishes with his.
L2,"‘It will be advantageous for (the subject of) the second line, (undivided), to maintain his firm correctness:'—his central position gives its character to his aim."
L3,"‘One man, walking,' (finds his friend):—when three are together, doubts rise among them."
L4,‘He diminishes the ailment under which he labours:'—this is matter for joy.
L5,"‘The great good fortune attached to the fifth six, (divided),' is due to the blessing from above."
L6,‘He gives increase to others without taking from what is his own:'—he obtains his wish on a grand scale.
hex_fin,
hex,42
image,"(The trigram representing) wind and that for thunder form Yî. The superior man, in accordance with this, when he sees what is good, moves towards it; and when he sees his errors, he turns from them."
L1,"‘If the movement be greatly fortunate, no blame will be imputed to him:'—though it is not for one in so low a position to have to do with great affairs."
L2,‘Parties add to his stores:'—they come from beyond (his immediate circle) to do so.
L3,‘Increase is given by means of what is evil and difficult:'—as he has in himself (the qualities called forth).
L4,‘His advice to his prince is followed:'—his (only) object in it being the increase (of the general good).
L5,‘(The ruler) with sincere heart seeks to benefit (all below):'—there need be no question (about the result). ‘(All below) with sincere heart acknowledge (his goodness):'—he gets what he desires on a great scale.
L6,‘To his increase none will contribute:'—this expresses but half the result. ‘Many will seek to assail him:'—they will come from beyond (his immediate circle) to do so.
hex_fin,
hex,43
image,"(The trigram representing) heaven and that for the waters of a marsh mounting above it form Kwâi. The superior man, in accordance with this, bestows emolument on those below him, and dislikes allowing his gifts to accumulate (undispensed)."
L1,"‘Without (being able to) succeed, he goes forward:'—this is an error."
L2,"‘Though hostile measures be taken against him, he need not be anxious:'—he pursues the course of the due mean."
L3,‘The superior man looks bent on cutting off the culprit:'—there will in the end be no error.
L4,‘He walks slowly and with difficulty:'—he is not in the place appropriate to him.
L5,"‘If his action be in harmony with his central position, there will be no error:'—but his standing in the due mean is not yet clearly displayed."
L6,‘There is the misery of having none on whom to call:'—the end will be that he cannot continue any longer.
hex_fin,
hex,44
image,"(The trigram representing) wind and that for the sky above it form Kâu. The sovereign, in accordance with this, delivers his charges, and promulgates his announcements throughout the four quarters (of the kingdom)."
L1,‘Tied and fastened to a metal drag:'—(this describes the arrest of) the weak (line) in its advancing course.
L2,‘He has a wallet of fish:'—it is right for him not to allow (the subject of the first line) to get to the guests.
L3,‘He walks with difficulty:'—but his steps have not yet been drawn (into the course of the first line).
L4,‘The evil' indicated by there being ‘no fish in the wallet' is owing to (the subject of the line) keeping himself aloof from the people.
L5,"‘The subject of the fifth line, (undivided), keeps his brilliant qualities concealed:'—as is indicated by his central and correct position."
L6,"‘He receives others on his horns:'—he is exhausted at his greatest height, and there will be cause for regret."
hex_fin,
hex,45
image,"(The trigram representing the) earth and that for the waters of a marsh raised above it form Žhui. The superior man, in accordance with this, has his weapons of war put in good repair, to be prepared against unforeseen contingencies."
L1,‘In consequence disorder is brought into the sphere of his union:'—his mind and aim are thrown into confusion.
L2,"‘He is led forward; there will be good fortune, and freedom from error:'—(the virtue proper to) his central place has not undergone any change."
L3,"‘If he go forward, he will not err:'—in the subject of the topmost line there is humility and condescension."
L4,"‘If he be grandly fortunate, he will receive no blame:'—(this condition is necessary, because) his position is not the one proper to him."
L5,‘There is the union (of all) under him in the place of dignity:'—(but) his mind and aim have not yet been brilliantly displayed.
L6,‘He sighs and weeps:'—he does not yet rest in his topmost position.
hex_fin,
hex,46
image,"(The trigram representing) wood and that for the earth with the wood growing in the midst of it form Shăng. The superior man, in accordance with this, pays careful attention to his virtue, and accumulates the small developments of it till it is high and great."
L1,"‘He is welcomed in his advance upwards, and there will be great good fortune:'—(the subjects of) the upper (trigram) are of the same mind with him."
L2,"‘The sincerity of the subject of the second line, undivided,' affords occasion for joy."
L3,‘He advances upwards (as into) an empty city:'—he has no doubt or hesitation.
L4,‘The king employs him to prevent his offerings on mount Khî:'—such a service (of spiritual Beings) is according to (their mind).
L5,"‘He is firmly correct, and will therefore enjoy good fortune. He ascends the stairs (with all due ceremony):'—he grandly succeeds in his aim."
L6,"‘He blindly advances upwards,' and is in the highest place:—but there is decay in store for him, and he will not (preserve) his riches."
hex_fin,
hex,47
image,"(The trigram representing) a marsh, and (below it that for a defile, which has drained the other dry so that there is) no water in it, form Khwăn. The superior man, in accordance with this, will sacrifice his life in order to carry out his purpose."
L1,"‘He enters a dark valley:'—so benighted is he, and without clear vision."
L2,"‘He is straitened amidst his wine and viands:'—(but) his position is central, and there will be ground for congratulation."
L3,‘He lays hold of thorns:'—(this is suggested by the position of the line) above the strong (line).
L4,"‘He proceeds very slowly (to help the subject of the first line):'—his aim is directed to (help) that lower (line). Although he is not in his appropriate place, he and that other will (in the end) be together."
L5,‘His nose and feet are cut off:'—his aim has not yet been gained.
L6,‘He is straitened as if bound with creepers: (his spirit and action) are unsuitable.
hex_fin,
hex,48
image,"(The trigram representing) wood and above it that for water form Žing. The superior man, in accordance with this, comforts the people, and. stimulates them to mutual helpfulness."
L1,‘A well so muddy that men will not drink of it:'—this is indicated by the low position (of the line).
L2,"‘A well from which by a hole the water escapes, and flows away to the shrimps:'—(the subject of this second line has) none co-operating with him (above)."
L3,"‘The well has been cleared out, but is not used:'—(even) passers-by would be sorry for this."
L4,‘A well the lining of which is well laid. There will be no error:'—the well has been put in good repair.
L5,‘The waters from the cold spring are (freely) drunk:'—this is indicated by the central and correct position (of the line).
L6,‘The great good fortune' at the topmost place indicates the grand accomplishment (of the idea in the hexagram).
hex_fin,
hex,49
image,"(The trigram representing the waters of) a marsh and that for fire in the midst of them form Ko. The superior man, in accordance with this, regulates his (astronomical) calculations, and makes clear the seasons and times."
L1,‘He is bound with (the skin of) a yellow ox:'—he should in his circumstances be taking action.
L2,‘He makes his changes when some time has passed:'—what he does will be matter of admiration.
L3,‘The change (contemplated) has been three times fully discussed:'—to what else should attention (now) be directed?
L4,‘The good fortune consequent on changing (existing) ordinances' is due to the faith reposed in his aims.
L5,‘The great man produces his changes as the tiger does when he changes his stripes:'—their beauty becomes more brilliant.
L6,‘The superior man produces his changes as the leopard does when he changes his spots:'—their beauty becomes more elegant.
hex_fin,
hex,50
image,"(The trigram representing) wood and above it that for fire form Ting. The superior man, in accordance with this, keeps his every position correct, and maintains secure the appointment (of Heaven)."
L1,"‘The caldron is overturned, and its feet turned upwards:'—but this is not (all) contrary (to what is right)."
L2,‘There is the caldron with the things (to be cooked) in it:'—let (the subject of the line) be careful where he goes.
L3,‘There is the caldron with (the places for) its ears changed:'—(its subject) has failed in what was required of him (in his situation).
L4,‘The contents designed for the ruler's use are overturned and spilt:'—how can (the subject of the line) be trusted?
L5,‘The caldron has yellow ears:'—the central position (of the line) is taken as (a proof of) the solid (virtue of its subject).
L6,‘The rings of jade' are at the very top:—the strong and the weak meet in their due proportions.
hex_fin,
hex,51
image,"(The trigram representing) thunder, being repeated, forms Kăn. The superior man, in accordance with this, is fearful and apprehensive, cultivates (his virtue), and examines (his faults)."
L1,"‘When the (time of) movement comes, he will be found looking out with apprehension:'— that feeling of dread leads to happiness."
L2,"‘When the movement approaches, he is in a position of peril:'—(a weak line) is mounted on a strong (one)."
L3,‘He is distraught amid the startling movements going on:'—(the third line) is in a position unsuitable to it.
L4,"‘Amid the startling movements, he sinks supinely in the mud:'—the light in him has not yet been brilliantly developed."
L5,"‘He goes and comes amid the startling movements, and (always) in peril:'—full of risk are his doings."
L6,‘Amid the startling movements he is in breathless dismay:'—he has not found out (the course of) the due mean.
hex_fin,
hex,52
image,"(Two trigrams representing) a mountain, one over the other, form Kăn. The superior man, in accordance with this, does not go in his thoughts beyond the (duties of the) position in which he is."
L1,‘He keeps his toes at rest:'—he does not fail in what is correct (according to the idea of the figure).
L2,‘He cannot help him whom he follows:'(he whom he follows) will not retreat to listen to him.
L3,"‘He keeps the loins at rest:'—the danger (from his doing so) produces a glowing, heat in the heart."
L4,‘He keeps the trunk of his body at rest:'—he keeps himself free (from agitation).
L5,‘He keeps his cheek bones at rest:'—in harmony with his central position he acts correctly.
L6,‘There is good fortune through his devotedly maintaining his restfulness:'—to the end he shows himself generous and good.
hex_fin,
hex,53
image,"(The trigram representing) a mountain and above it that for a tree form Kien. The superior man, in accordance with this, attains to and maintains his extraordinary virtue, and makes the manners of the people good."
L1,‘The danger of a small officer (as represented in the first line)' is owing to no fault of his in the matter of what is right.
L2,‘They eat and drink joyfully and at ease:'—but not without having earned their food.
L3,‘A husband goes and does not return:'—he separates himself from his comrades.
L4,‘They may light on the flat branches:'—there is docility (in the line) going on to flexible penetration.
L5,‘In the end the natural issue cannot be prevented. There will be good fortune:'—(the subject of the line) will get what he desires.
L6,‘Their feathers can be used as ornaments. There will be good fortune:'—(the object and character of the subject of the line) cannot be disturbed.
hex_fin,
hex,54
image,"(The trigram representing the waters of) a marsh and over it that for thunder form Kwei Mei. The superior man, in accordance with this, having regard to the far-distant end, knows the mischief (that may be done at the beginning)."
L1,‘The younger sister is married off in a position ancillary to that of the real wife:'—it is the constant practice (for such a case).
L2,‘There will be advantage in maintaining the firm correctness of a solitary widow:'—(the subject of the line) has not changed from the constancy (proper to a wife).
L3,‘The younger sister who was to be married off is in a mean position:'—this is shown by the improprieties (indicated in the line).
L4,"(The purpose in) ‘protracting the time' is that, after waiting, the thing may be done (all the better)."
L5,"‘The sleeves of the younger sister of (king) Tî-yî, when she was married away, were not equal to those of her (half-)sister, who accompanied her:'—such was her noble character, indicated by the central position of the line."
L6,"‘(What is said in) the sixth line, (divided),about there being nothing in the basket' shows that the subject of it is carrying an empty basket."
hex_fin,
hex,55
image,"(The trigrams representing) thunder and lightning combine to form Făng. The superior man, in accordance with this, decides cases of litigation, and apportions punishments with exactness."
L1,"‘Though they are both of the same character, there will be no error:'—if the subject of this line seek to overpass that similarity, there will be calamity."
L2,"‘Let him cherish his feeling of sincere devotion, that it shall appear being put forth:'—it is by sincerity that the mind is affected."
L3,‘There is an (additional) screen of a large and thick banner:'—great things should not be attempted (in such circumstances).
L4,‘He is surrounded by a screen large and thick:'—the position of the line is inappropriate.
L5,"‘The good fortune indicated by the fifth six, (divided),‘is the congratulation (that is sure to arise)."
L6,‘He has made his house large:'—he soars (in his pride) to the heavens.
hex_fin,
hex,56
image,"(The trigram representing) a mountain and above it that for fire form Lü. The superior man, in accordance with this, exerts his wisdom and caution in the use of punishments and not allowing litigations to continue."
L1,"‘The stranger is mean and meanly occupied:'—his aim is become of the lowest character, and calamity will ensue."
L2,‘He is provided with good and trusty servants:'—he will in the end have nothing of which to complain.
L3,"‘The stranger burns his lodging-house:'—and he himself also suffers hurt thereby. When, as a stranger, he treats those below him (as the line indicates), the right relation between him and them is lost."
L4,‘The stranger is in a resting-place:'—but he has not got his proper position.
L5,‘In the end he will obtain praise and a (high) charge:'—he has reached a high place.
L6,"‘Considering that the stranger is here at the very height (of distinction),' with the spirit that possesses him, it is right he (should be emblemed by a bird) burning (its nest)."
hex_fin,
hex,57
image,"(Two trigrams representing) wind, following each other, form Sun. The superior man, in accordance with this, reiterates his orders, and secures the practice of his affairs."
L1,"‘(Now) he advances, (now) he recedes:'—his mind is perplexed."
L2,‘The good fortune springing from what borders on confusion' is due to the position (of the line) in the centre.
L3,‘The regret arising from the violent and repeated efforts to penetrate' shows the exhaustion of the will.
L4,"‘He takes game in his hunting, enough for the threefold use of it:'—he achieves merit."
L5,"‘The good fortune of (the subject of) the fifth line, undivided,' is owing to its correct position and its being in the centre."
L6,"‘The representative of penetration is beneath a couch:'—though occupying the topmost place, his powers are exhausted."
hex_fin,
hex,58
image,"(Two symbols representing) the waters of a marsh, one over the other, form Tui. The superior man, in accordance with this, (encourages) the conversation of friends and (the stimulus of) their (common) practice."
L1,‘The good fortune attached to the pleasure of (inward) harmony' arises from there being nothing in the conduct (of the subject of the line) to awaken doubt.
L2,‘The good fortune attached to the pleasure arising from (inward sincerity)' is due to the confidence felt in the object (of the subject of the line).
L3,‘The evil predicated of one's bringing around himself whatever can give pleasure' is shown by the inappropriateness of the place (of the line).
L4,"‘The joy in connexion with (the subject of) the fourth line, (undivided): is due to the happiness (which he will produce)."
L5,‘He trusts in one who would injure him:'—his place is that which is correct and appropriate.
L6,"‘The topmost line, (divided), shows the pleasure (of its subject) in leading and attracting others:'—his (virtue) is not yet brilliant."
hex_fin,
hex,59
image,"(The trigram representing) water and that for wind moving above the water form Hwân. The ancient kings, in accordance with this, presented offerings to God and established the ancestral temple."
L1,"‘The good fortune attached to the first six, divided),‘is due to the natural course (pursued by its subject)."
L2,"‘Amidst the prevailing dispersion, he hurries to his contrivance (for security):'—he gets what he desires."
L3,‘He has no regard to his own person:'—his aim is directed to what is external to himself.
L4,"‘He scatters the (different) parties (in the state), and there is great good fortune:'—brilliant and great (are his virtue and service)."
L5,"‘The accumulations of the royal (granaries) are dispersed, and there is no error:'—this is due to the correctness of the position."
L6,‘His bloody wounds are gone:'—he is far removed from the danger of injury.
hex_fin,
hex,60
image,"(The trigram representing) a lake, and above it that for water, form Kieh. The superior man, in accordance with this, constructs his (methods of) numbering and measurement, and discusses (points of) virtue and conduct."
L1,‘He does not quit the courtyard outside his door:'—he knows when he has free course and when he is obstructed.
L2,‘He does not quit the courtyard inside his gate. There will be evil:'—he loses the time (for action) to an extreme degree.
L3,"In ‘the lamentation for not observing the (proper) regulations,' who should there be to blame?"
L4,‘The progress and success of the quiet and natural (attention) to all regulations' is due to the deference which accepts the ways of (the ruler) above.
L5,‘The good fortune arising from the regulations enacted sweetly and acceptably' is due to (the line) occupying the place (of authority) and being in the centre.
L6,‘The regulations are severe and difficult. Even with firm correctness there will be evil:'—the course (indicated by the hexagram) is come to an end.
hex_fin,
hex,61
image,"(The trigram representing the waters of) a marsh and that for wind above it form Kung Fû. The superior man, in accordance with this, deliberates about cases of litigation and delays (the infliction of) death."
L1,"‘The first line, (undivided), shows its subject resting (in himself). There will be good fortune:'—no change has yet come over his purpose."
L2,‘Her young ones respond to her:'—from the (common) wish of the inmost heart.
L3,"‘Now he beats his drum, and now he leaves off:'—the position (of the line) is the appropriate one for it."
L4,"‘A horse the fellow of which disappears:'—he breaks from his (former) companions, and mounts upwards."
L5,"‘He is perfectly sincere, and links others to him in closest union:'—the place (of the line) is the correct and appropriate one."
L6,‘Chanticleer (tries to) mount to heaven:'—but how can (such an effort) continue long?
hex_fin,
hex,62
image,"(The trigram representing) a hill and that for thunder above it form Hsiâo Kwo. The superior man, in accordance with this, in his conduct exceeds in humility, in mourning exceeds in sorrow, and in his expenditure exceeds in economy."
L1,‘There is a bird flying (and ascending) till the result is evil:'—nothing can be done to avoid this issue.
L2,‘He does not attempt to reach his ruler:'—a minister should not overpass the distance (between his ruler and himself).
L3,'some in consequence find opportunity to assail and injure him. There will be evil:'—how great will it be!
L4,"‘He meets the exigency (of his situation), without exceeding (the proper course):'—(he does so), the position being inappropriate (for a strong line)."
L5,"‘There are dense clouds, but no rain:'—(the line) is in too high a place."
L6,"‘He does not meet the exigency (of his situation), and exceeds (his proper course):'—(the position indicates) the habit of domineering."
hex_fin,
hex,63
image,"(The trigram representing) fire and that for water above it form Kî Žî. The superior man, in accordance with this, thinks of evil (that may come), and beforehand guards against it."
L1,"‘He drags back his wheel:'—as we may rightly judge, there will be no mistake."
L2,‘In seven days she will find it:'—for the course pursued is that indicated by the central position (of the line).
L3,‘He was three years in subduing it:'—enough to make him weary.
L4,‘He is on his guard all the day:'—he is in doubt about something.
L5,‘The slaughtering of an ox by the neighbour in the east is not equal to (the small sacrifice of) the neighbour in the west:'—because the time (in the latter case is more important and fit).
L6,‘His head is immersed; the position is perilous:'—how could such a state continue long?
hex_fin,
hex,64
image,"(The trigram representing) water and that for fire above it form Wei Žî. The superior man, in accordance with this, carefully discriminates among (the qualities of) things, and the (different) positions they (naturally) occupy."
L1,‘His tail gets immersed:'—this is the very height of ignorance.
L2,"‘The second line, (undivided), shows good fortune arising from being firm and correct:'—it is in the central place, and the action of its subject thereby becomes correct."
L3,‘(The state of things is) not yet remedied. Advancing will lead to evil:'—the place (of the line) is not that appropriate for it.
L4,"(By firm correctness there is good fortune, and cause for repentance disappears:'—the aim (of the subject of the line) is carried into effect."
L5,‘(We see) the brightness of a superior man:—‘the diffusion of that brightness tends to good fortune.
L6,‘He drinks and gets his head immersed:'—he does not know how to submit to the (proper) regulations.
hex_fin,
